Title	Year Released	Runtime	Genre
Mackintosh Man, The	2012	1.8	Action|Drama|Thriller
Riot on Sunset Strip	2006	1.8	Drama
Armstrong Lie, The	2003	1.2	Documentary
Who Killed Vincent Chin?	1995	2.1	Crime|Documentary
Love Stinks	2007	2.0	Comedy
Taps	1992	1.2	Drama
Wuthering Heights	2003	1.2	Drama|Romance
Robot Monster	1999	2.4	Horror|Sci-Fi
County Teacher, The (Venkovský ucitel)	2003	2.0	Drama
Pure	1997	2.3	Drama
Walk the Line	2008	2.3	Drama|Musical|Romance
Wallace & Gromit: A Close Shave	1992	2.0	Animation|Children|Comedy
Fever Pitch	2008	1.8	Comedy|Romance
Sgt. Bilko	2008	1.4	Comedy
Captive, The	2009	1.7	Crime|Drama|Thriller
Rugrats in Paris: The Movie	2009	1.7	Animation|Children|Comedy
Daredevil	2002	2.1	Action|Crime
House of Sand (Casa de Areia)	1997	2.1	Drama
Outer Space	1998	1.5	Animation|Horror
Mission London	2003	2.1	Comedy
Our Blushing Brides	2004	1.9	Drama
Old Yeller	2005	2.5	Children|Drama
Anima Mundi	1994	2.5	Documentary
Empire of the Sun	2009	2.2	Action|Adventure|Drama|War
Burn! (Queimada)	2011	1.5	Drama|Thriller
Texas Chainsaw Massacre 2, The	1992	1.2	Horror
Fort McCoy	1995	1.0	(no genres listed)
Price of Milk, The	1998	1.3	Comedy|Drama|Fantasy|Romance
Gore Gore Girls, The	1991	1.8	Comedy|Horror|Mystery
Female	1992	1.5	Comedy|Drama|Romance
Click	1997	2.1	Adventure|Comedy|Drama|Fantasy|Romance
Paris 36 (Faubourg 36)	1948	2.2	Drama|Musical|Romance
Alvin and the Chipmunks	2009	1.7	Children|Comedy
Dry Cleaning (Nettoyage à sec)	2001	1.9	Drama
Queen Margot (Reine Margot, La)	1987	1.6	Drama|Romance
Shootist, The	1988	1.2	Drama|Western
Horton Hears a Who!	2003	1.3	Adventure|Animation|Children|Comedy
Secret of My Succe$s, The (a.k.a. The Secret of My Success)	2001	1.8	Comedy|Romance
Sut (Milk)	1987	1.0	Drama
Shooting Dogs (a.k.a. Beyond the Gates)	2009	1.3	Documentary|Drama|War
At Home by Myself... with You	1998	1.9	Comedy|Romance
Cyborg	2008	2.2	Action|Sci-Fi
My Fellow Americans	1987	1.7	Comedy
Running	2005	2.1	Drama
My Brother Is an Only Child (Mio fratello è figlio unico)	2010	1.9	Comedy|Crime|Drama
Fever Pitch	1988	1.4	Comedy|Romance
Othello (Tragedy of Othello: The Moor of Venice, The)	1998	2.1	Drama
Out Late 	1996	1.6	Documentary
God Grew Tired of Us	1986	1.1	Documentary|Drama
Topaze	1995	1.8	Comedy
Cesar Chavez	2012	2.4	Drama
Straight Talk	2006	2.3	Comedy
Wildcats	2003	2.0	Comedy
Cinderella	2005	1.5	Children|Fantasy|Musical|Romance
Jude the Obscure	2006	1.1	Drama
Man Between, The	2012	1.2	Drama|Film-Noir|Romance|Thriller
Samurai Rebellion (Jôi-uchi: Hairyô tsuma shimatsu)	1996	1.2	Action|Drama
Fire in Castilla (Tactilvision from the Moor of the Fright)	2003	1.4	Documentary
Doubt	2008	1.1	Drama|Mystery
Castle Freak	1996	2.1	Horror
Independents	1986	1.4	Documentary
Loco Love (Mi Casa, Su Casa)	2012	2.3	Comedy
Profound Desires of the Gods (Kamigami no fukaki yokubo) 	2011	2.2	Drama
Concepción Arenal, la visitadora de cárceles	2010	1.6	Drama
Welcome, or No Trespassing	1992	2.4	Children|Comedy
O	1995	1.1	Drama
Misérables, Les	1995	1.1	Crime|Drama|Romance|War
High Art	2004	1.6	Drama|Romance
V/H/S/2	1994	1.1	Horror|Thriller
May in the Summer	1990	1.8	Comedy|Drama
Godson, The	1997	2.4	Comedy|Crime
Mongol	2009	1.2	Drama|War
Identity	2006	2.4	Crime|Horror|Mystery|Thriller
Flesh for Frankenstein (a.k.a. Andy Warhol's Frankenstein)	1993	1.0	Drama|Horror|Sci-Fi
Mushrooming (Seenelkäik)	2003	2.1	Adventure|Comedy|Thriller
Private Resort	2004	1.2	Comedy
Right at Your Door	2002	1.8	Drama|Thriller
Heavy Metal	2004	2.3	Action|Adventure|Animation|Horror|Sci-Fi
Stars	2003	1.8	Drama|War
When the Road Bends: Tales of a Gypsy Caravan	1993	2.1	Documentary
Kremlin Letter, The	2008	2.5	Drama|Thriller
Tuulikaappimaa	2008	1.5	Comedy
Cat o' Nine Tails, The (Gatto a nove code, Il)	1988	2.3	Mystery|Thriller
CSNY Déjà Vu	2005	2.1	Documentary
Red Cliff Part II (Chi Bi Xia: Jue Zhan Tian Xia)	2008	1.4	Action|Drama|War
Mysteries of Pittsburgh, The	2000	2.2	Adventure|Comedy|Drama
Zift	2004	1.6	Crime|Drama|Mystery
Rent-a-Cat	2006	2.3	Comedy|Drama
Beautiful Ohio	2003	1.8	Comedy|Drama
Busting	1996	2.2	Crime|Drama
Breaking the Maya Code	1998	1.2	Documentary
Voyage to the End of the Universe (Ikarie XB 1)	1972	2.1	Sci-Fi
Horseman, The	1995	2.3	Crime|Thriller
Sheitan	2010	1.2	Comedy|Horror|Thriller
Martha	2008	1.2	Drama|Thriller
Mea Maxima Culpa: Silence in the House of God	1959	2.4	Documentary
8 (8, the Play)	1965	1.8	Drama
Seize the Day	1994	1.1	Drama
Little Lord Fauntleroy	2007	1.4	Children|Drama|Romance
Man Called Horse, A	1994	2.1	Adventure|Drama|Western
Black Sheep (Schwarze Schafe)	1995	1.0	Comedy
Clown, The	2007	1.1	Comedy|Drama
Angry Red Planet, The	2012	1.4	Sci-Fi
B.U.S.T.E.D (Everybody Loves Sunshine) (Busted)	2009	2.1	Crime|Drama
One Million Years B.C.	2012	1.8	Adventure|Fantasy
Under the Bridges (Unter den Brücken)	1960	1.5	Comedy|Drama|Romance
Enemy Within, The (O ehthros mou)	2013	1.7	Drama
Hallelujah Trail, The	2000	1.8	Comedy|Western
Stakeout on Dope Street	1998	1.9	Crime|Drama
Beach Blanket Bingo	1989	2.4	Comedy|Musical
Grease	1979	1.5	Comedy|Musical|Romance
Goats	2008	1.5	Comedy
In Crowd, The	1993	1.9	Thriller
Fireflies in the Garden	1984	1.6	Drama
Am Ende eiens viel zu kurzen Tages (Death of a superhero)	2006	1.7	Animation|Drama
Eva (a.k.a. Eve)	2007	2.1	Drama
Sense of History, A	2001	2.0	Comedy|Crime|Drama
Red Salute	2003	1.4	Comedy|Romance
Big Animal (Duze zwierze)	2000	1.4	Comedy|Drama
W.	2007	2.1	Drama
Running Man, The	2004	1.2	Action|Sci-Fi
Gerontophilia	1992	1.1	Comedy|Romance
Class of 1999	1987	2.4	Action|Horror|Sci-Fi
Strapped	2008	2.5	Action|Drama
Canyon Passage	1992	1.7	Action|Romance|Western
Deliver Us from Evil	1992	2.4	Crime|Horror|Thriller
Doctors' Wives	1987	2.1	Drama
Black Book (Zwartboek)	2001	2.3	Drama|Thriller|War
Backdraft	2002	1.6	Action|Drama
Undisputed II: Last Man Standing	2013	2.0	Action|Crime|Drama
Tammy and the Bachelor	2007	2.1	Musical|Romance
Dark House	1994	1.4	Horror|Thriller
27 Club, The	1991	1.3	Drama
Fairy, The (La fée) 	1991	2.3	Comedy|Drama
Divorce American Style	2004	1.8	Comedy
Grateful Dawg	1997	1.1	Documentary
Eros	2002	1.8	Drama
Fine Madness, A	2004	2.2	Comedy|Drama|Romance
Unfaithful	1991	1.3	Drama|Thriller
Incredible Burt Wonderstone, The	1993	1.1	Comedy
American Tail: Fievel Goes West, An	1999	1.6	Adventure|Animation|Children|Musical|Western
Troma's War 	2006	2.2	Action|Adventure|Comedy
Georgy Girl	1988	1.4	Comedy
Gen 13 (a.k.a. Gen13: The Animated Movie)	1994	1.6	Action|Animation|Sci-Fi
Metro Manila	2006	1.9	Action|Crime|Drama
See You Tomorrow, Everyone	2008	2.4	Drama
Begone Dull Care	1995	1.4	Animation
Blood Work	1999	1.6	Crime|Drama|Mystery|Thriller
Falls, The	1996	2.0	Drama|Sci-Fi
Suicide Club (Jisatsu saakuru)	1992	1.1	Horror|Mystery|Thriller
Remember the Night	1990	1.0	Comedy|Drama|Romance
Zodiac	1995	1.4	Crime|Drama|Thriller
Strip Search	1985	1.1	Drama
Calamari Union	2009	1.9	Comedy
Glengarry Glen Ross	1992	2.3	Drama
Muse, The	2007	1.6	Comedy
Walk Softly, Stranger	2013	1.6	Crime|Drama|Film-Noir|Romance
True Story	2011	2.1	Drama|Mystery|Thriller
Killer Meteors, The (Feng yu shuang liu xing)	2009	2.4	Action|Thriller
21	2010	1.5	Crime|Drama|Romance|Thriller
Princess Aurora (Orora gongju)	1994	1.5	Crime|Drama|Mystery
Vice Versa	1999	2.0	Comedy
My Lady Margarine (Die Austernprinzessin) (Oyster Princess, The)	2006	1.6	Comedy
Savannah	2002	2.1	Drama|Romance
Poetical Refugee	2009	2.2	Drama
There's No Business Like Show Business	2006	1.5	Musical
The Uncommon Making of Petulia	1997	1.3	Documentary
Capote	2004	1.6	Crime|Drama
Adventures of Arsène Lupin, The (Aventures d'Arsène Lupin, Les)	1969	1.6	Crime|Mystery
We Can Be Heroes	2003	1.3	(no genres listed)
Castaway	2004	1.1	Adventure|Drama
Majestic, The	1995	1.2	Comedy|Drama|Romance
Shadowlands	1984	2.0	Drama|Romance
Voyage to the Beginning of the World (Viagem ao Princípio do Mundo)	1992	2.3	Drama
Mission: Impossible - Ghost Protocol	1992	1.8	Action|Adventure|Thriller|IMAX
Minnie and Moskowitz	2006	1.6	Action
Strange Case of Dr. Jekyll and Miss Osbourne, The (Dr. Jekyll and His Women) (Docteur Jekyll et les femmes)	1992	2.2	Horror
Dust of Time, The	2013	1.3	Drama
Two Cents Worth of Hope (Due soldi di speranza)	1997	1.3	Comedy|Romance
Crimes of Passion	1989	2.3	Drama|Romance|Thriller
Orwell Rolls in His Grave	2006	1.2	Documentary
And Now... Ladies and Gentlemen...	2012	2.1	Romance|Thriller
Cherry Falls	2004	2.1	Comedy|Horror|Mystery
Them (Ils)	2000	2.1	Horror
Night of the Generals, The	2012	2.4	Crime|Drama|Mystery|Thriller|War
3 Needles	2001	1.9	Drama
That Cold Day in the Park	1997	1.9	Drama
Falling Awake	2000	1.3	Romance|Thriller
Unforgotten: Twenty-Five Years After Willowbrook	2011	1.8	Documentary
Battles Without Honor & Humanity (Jingi naki tatakai)	2012	1.3	Crime|Drama
I Dreamed of Africa	2005	2.5	Drama
Twelve Tasks of Asterix, The (Les douze travaux d'Astérix)	1998	1.6	Action|Adventure|Animation|Children|Comedy|Fantasy
Once in a Lifetime: The Extraordinary Story of the New York Cosmos	1996	1.7	Documentary
Nymphomaniac: Volume II	1994	2.5	Drama|Mystery
His Name Was Jason: 30 Years of Friday the 13th	1996	1.2	Documentary|Horror
Riviera	1997	2.0	Comedy|Drama
Blood Beast Terror, The	1985	1.8	Crime|Horror|Mystery
Train	2005	2.1	Horror|Thriller
Say Anything...	1992	1.8	Comedy|Drama|Romance
Hunchback of Notre Dame, The	2004	2.1	Animation|Children|Drama|Musical|Romance
Girls, Les	1995	1.2	Musical
TWA Flight 800 	2000	1.1	Documentary
Flushed Away	2002	1.7	Animation|Comedy
Super 8 Stories	1958	1.3	Documentary
Lady is Willing, The	1986	1.8	Comedy|Drama|Romance
Honor Among Thieves (Adieu l'ami) (Farewell, Friend)	1997	1.1	Action|Adventure|Crime|Drama|Mystery|Thriller
Nobody's Fool	2012	1.5	Comedy|Drama|Romance
Baron of Arizona, The	1996	2.5	Drama|Romance|Western
Peyton Place	1984	2.3	Drama|Romance
Evil Roy Slade	2006	2.1	Comedy|Western
Lone Wolf and Cub: White Heaven in Hell (Kozure ôkami: Jigoku e ikuzo! Daigorô)	2003	2.1	Action|Drama|Fantasy
Gimme the Loot	2004	1.5	Drama
Dying at Grace	2009	1.5	Documentary
One Flew Over the Cuckoo's Nest	2008	2.0	Drama
Seance (Kôrei)	2011	1.7	Drama|Horror|Thriller
Rain Man	2004	2.1	Drama
Luna Papa	1993	2.3	Comedy|Drama|Fantasy
The Uncommon Making of Petulia	2002	1.9	Documentary
Bengazi	2006	2.5	Adventure|Crime|Drama
Five Senses, The	2012	1.9	Drama
Bullets or Ballots	2006	1.8	Crime|Drama|Thriller
Boy Called Hate, A	2001	2.1	Drama
Twice Upon a Yesterday (a.k.a. Man with Rain in His Shoes, The)	1989	2.3	Comedy|Drama|Romance
Journey Beyond Three Seas	1991	1.6	Adventure
In Crowd, The	2011	1.6	Thriller
Love Happens	1990	2.1	Comedy|Drama|Romance
Spirits of the Dead	2012	1.7	Horror|Mystery
Troll 2	1997	1.7	Fantasy|Horror
Firecreek	2003	2.0	Western
12:01	2003	1.1	Comedy|Romance|Sci-Fi|Thriller
Monday Morning (Lundi matin)	1997	1.4	Comedy|Drama|Romance
Terry Pratchett: Choosing to Die	1989	1.6	Documentary
Max Keeble's Big Move	1990	1.5	Children|Comedy
Reefer Madness (a.k.a. Tell Your Children)	2011	1.3	Comedy|Drama
G@me	2005	2.1	Thriller
Children of the Corn: Revelation	2013	1.2	Horror|Thriller
Tootsie	2009	1.5	Comedy|Romance
Pain & Gain	2004	1.2	Action|Comedy|Crime
Cesar & Rosalie (César et Rosalie)	1993	2.1	Comedy|Drama|Romance
Girl 6	2005	1.5	Comedy|Drama
Fandry	2012	1.5	Children|Drama
Camp	1994	2.1	Comedy|Musical
Tru Confessions	1999	1.2	Children|Comedy|Drama
Wedding Daze	2009	2.2	Comedy|Romance
Marriage of Maria Braun, The (Ehe der Maria Braun, Die)	2006	1.8	Drama
Boy with Green Hair, The	2006	1.9	Children|Drama
Skin	2003	2.3	Drama|Mystery
Intentions of Murder (a.k.a. Murderous Instincts) (Akai satsui)	2007	2.1	Drama
Fugly!	1998	1.9	Comedy
Friday the 13th Part V: A New Beginning	1998	2.2	Horror
Encounters at the End of the World	1992	1.6	Documentary
Mummy's Tomb, The	1992	2.1	Horror
Building the Inferno: Nobuo Nakagawa and the Making of 'Jigoku'	2010	2.4	Documentary
For Roseanna (Roseanna's Grave)	2000	1.8	Comedy|Drama|Romance
Restaurant	1989	1.5	Drama
Million to Juan, A	2003	2.1	Comedy
Kids of Survival	1988	1.7	Documentary
Something in the Air (Apres Mai)	2009	1.8	Action|Drama
Goat, The	2002	1.5	Comedy
Under the Rainbow	1984	1.2	Comedy
Breaker! Breaker!	2006	2.2	Action|Adventure|Crime
Hell's Highway	2004	1.4	Crime|Drama
Stranger Among Us, A	2004	2.2	Crime|Drama|Romance
Floundering	2011	1.9	Comedy
Hotel New Hampshire, The	1992	1.1	Drama
Matti: Hell Is for Heroes (Matti)	2010	1.6	Comedy|Drama
Divorce	2010	2.4	Drama
Sexual Life	2000	1.2	Romance
Das Experiment (Experiment, The)	1983	2.3	Drama|Thriller
Wish I Was Here	2009	2.1	Comedy|Drama
Dreamers, The	2012	1.3	Drama
Ponyo (Gake no ue no Ponyo)	1985	1.1	Adventure|Animation|Children|Fantasy
World According to Monsanto, The (monde selon Monsanto, Le)	1999	2.3	Documentary
Lilla Jönssonligan och Cornflakeskuppen	2011	1.1	Children|Comedy
Harry Potter and the Goblet of Fire	2008	1.7	Adventure|Fantasy|Thriller|IMAX
When in Rome	1985	1.3	Children|Comedy
Where the Boys Are '84	1993	1.6	Comedy
Teddy Bears' Picnic	2012	2.5	Comedy
Emperor's New Groove 2: Kronk's New Groove, The	2003	2.2	Animation|Children|Comedy
Puss in Boots: The Three Diablos	2001	1.4	Animation|Comedy
Front of the Class	2008	1.3	Drama
You Can Count on Me	2000	2.1	Drama|Romance
Price Above Rubies, A	2002	2.2	Drama
Clearing, The	2011	2.2	Drama|Thriller
Ishq	2006	2.1	Action|Comedy|Drama|Musical|Romance
Simon Sez	1991	1.1	Action|Comedy
The Devil and the Holy Water	2011	1.4	Comedy
Space Milkshake	2013	1.7	Comedy|Sci-Fi
Octopus, The (Le poulpe)	2012	1.2	Comedy|Crime|Thriller
Killshot	2011	1.0	Action|Crime|Drama|Thriller
Troll 2	1990	1.3	Fantasy|Horror
Slums of Beverly Hills, The	2011	1.9	Comedy|Drama
Journey to the Sun (Günese yolculuk)	2006	1.6	Drama
Sisters, The	1997	2.4	Drama
Hyde Park on Hudson	1987	1.3	Comedy|Drama
Cure, The	2007	2.2	Drama
Three Wise Men (Kolme viisasta miestä)	1993	1.4	Drama
Hickey and Boggs	2008	2.3	Crime|Drama|Film-Noir|Thriller
Syrian Bride, The	2005	1.6	Drama
Fidel	2000	1.4	Documentary
Pet, The	2006	1.3	Drama|Thriller
Star Trek	1997	2.4	Action|Adventure|Sci-Fi|IMAX
Zaat	1999	1.9	Fantasy|Horror|Sci-Fi
$ (Dollars)	1969	1.7	Comedy|Crime|Drama
Young Ones	1998	1.0	Drama|Sci-Fi|Western
Men Cry Bullets	2003	1.2	Comedy|Drama
Naked Lunch	1997	2.3	Drama|Fantasy|Mystery|Sci-Fi
Music Man, The	1993	1.8	Comedy|Drama|Musical|Romance
Madame Bovary	2009	1.5	Drama
Porn Theater (Chatte à deux têtes, La)	2009	1.0	Drama
Death Defying Acts	2010	2.3	Drama|Romance|Thriller
You Again	1993	1.8	Comedy
Score: A Hockey Musical	1985	2.1	Comedy|Musical
The Butter Battle Book	1995	1.9	Animation|Children
Scar, The (Blizna)	2009	1.5	Drama
W.R.: Mysteries of the Organism	2012	2.1	Comedy|Documentary
Maiden's Cheek (To xylo vgike apo ton Paradeiso)	2002	1.5	Comedy|Romance
Bride Wars	1988	2.3	Comedy|Romance
Toy, The	2001	1.8	Comedy
Who Are you Polly Maggoo (Qui êtes-vous, Polly Maggoo?)	2005	2.0	Comedy
Cast a Dark Shadow (Angel)	2005	1.5	Thriller
Notebook, The	2010	1.2	Drama|Romance
Warm Water Under a Red Bridge (Akai hashi no shita no nurui mizu)	1999	1.9	Comedy|Drama
Parallel Sons	2001	1.1	Drama|Romance
Crush, The (La cotta)	2003	1.0	Romance
Avalon	2010	1.8	Drama|Fantasy|Sci-Fi
Anna Lucasta	2008	1.6	Drama
Bright Future (Akarui mirai)	2004	1.8	Drama
Scream of Stone (Cerro Torre: Schrei aus Stein)	2002	1.5	Drama
Birders: The Central Park Effect (Central Park Effect, The)	2012	1.3	Documentary
Look Who's Talking	1985	1.2	Comedy|Romance
War You Don't See, The	2002	1.8	Documentary
Fluke	2007	1.4	Children|Drama
52 Tuesdays	2010	2.2	Children|Drama
Ricky & Barabba	1990	2.3	Comedy
Past Midnight	2010	1.1	Horror|Thriller
Eden	2010	2.0	Drama|Romance
Love of Siam, The (Rak haeng Siam)	1986	2.2	Drama|Mystery|Romance
The Hunters	2008	1.3	Adventure
Hang 'Em High	1985	1.8	Crime|Drama|Western
Best Foot Forward	1991	2.0	Comedy|Musical
Torrente 4: Lethal Crisis	2004	2.2	Action|Comedy|Crime
Point, The	2000	1.7	Animation|Children|Fantasy|Musical
Holy Guests (Ha-Ushpizin)	1995	2.1	Drama
Bridges at Toko-Ri, The	2006	1.3	Drama|Romance|War
Soviet Story, The	2007	1.1	Documentary
Marathon Family, The (Maratonci Trce Pocasni Krug)	2011	1.8	Comedy
Mexican, The	2008	1.2	Action|Comedy
Clint Eastwood: Out of the Shadows	1999	1.7	Documentary
Johnny Express	2004	2.0	Animation|Comedy|Sci-Fi
Wend Kuuni (a.k.a. God's Gift)	2004	2.4	Drama
Swan, The	1997	2.5	Comedy|Drama|Romance
Kill a Rat	2007	2.3	Crime|Drama|Mystery
My Way (Mai Wei)	1997	2.0	Action|Drama|War
Brother's Kiss, A	1993	1.7	Drama
The New Babylon	2008	1.9	Drama
Travelling Salesman	1988	1.7	Drama|Mystery|Sci-Fi|Thriller
Goddess (Devi)	2009	1.4	Drama
Charlie Chan in Honolulu	2008	2.2	Comedy|Crime|Horror|Mystery|Thriller
Love's Long Journey	1991	2.2	Drama|Romance|Western
Murder in the First	2012	2.3	Drama|Thriller
First Daughter	2000	1.1	Comedy|Romance
Sitter, The	2003	2.0	Comedy
Lord of the Rings, The	1984	1.4	Adventure|Animation|Children|Fantasy
Restraint	1987	1.6	Drama|Thriller
Slaughterhouse	2000	1.5	Comedy|Horror
Pay or Die	2008	1.5	Crime
Waltz with Bashir (Vals im Bashir)	2012	2.2	Animation|Documentary|Drama|War
House of Strangers	2001	1.4	Drama|Film-Noir
Mother Küsters Goes to Heaven (Mutter Küsters' Fahrt zum Himmel)	2012	1.3	Drama
Cialo	1989	1.9	Comedy|Crime
Cats Don't Dance	2008	1.2	Animation|Children|Musical
Turbo: A Power Rangers Movie	1999	1.6	Action|Adventure|Children
Home Movie	2006	2.1	Documentary
Halloween II	2002	1.1	Horror
Hard to Be a God	2013	2.3	Sci-Fi
Métisse (Café au Lait)	2009	1.5	Comedy|Drama
Kummeli Alivuokralainen	2002	1.8	Comedy
Something the Lord Made	1989	1.2	Drama
Curse of the Oily Man (Sumpah orang minyak) 	1997	1.7	Drama|Fantasy|Thriller
For Love or Country: The Arturo Sandoval Story	2000	2.4	Drama|Musical
Joe	1988	2.0	Drama
Roll Bounce	2001	1.8	Comedy|Drama|Romance
Hatchet III	2000	1.8	Comedy|Horror
March of the Movies (Film Parade, The)	1994	1.2	Documentary
Into the Storm	1998	2.2	Drama|War
Great Stone Face, The	1988	1.1	Documentary
Big Man Japan (Dai-Nihonjin)	2011	1.3	Comedy|Sci-Fi
Praise	2010	1.2	Drama
Story of O, The (Histoire d'O)	1992	1.4	Drama|Romance
Life and Times of Judge Roy Bean, The	2011	2.1	Comedy|Western
This Girl's Life	2001	1.5	Drama
Taqwacore: The Birth of Punk Islam	1994	2.2	Documentary
Deal, The	1994	2.0	Comedy
Shall We Dance? (Shall We Dansu?)	2007	1.4	Comedy|Drama|Romance
Shout	1985	1.6	Drama
Prince of Jutland (a.k.a. Royal Deceit)	2007	2.1	Drama
The Gamers	1992	2.1	Adventure|Comedy|Fantasy
Dirty Dingus Magee	1991	2.0	Comedy|Western
Red Dawn	1992	1.3	Action|War
Soldier's Daughter Never Cries, A	2010	1.7	Drama
Omega Doom	1988	2.0	Sci-Fi
Reincarnation	1999	1.8	Horror|Mystery
2016: Obama's America	1997	1.9	Documentary
Superheroes	1986	2.1	Action|Comedy|Documentary|Drama
Bridges of Madison County, The	2009	1.1	Drama|Romance
Mélo	1995	1.3	Drama|Romance
Exhibition	2005	2.4	Drama
Gitarrmongot	1983	1.6	Drama
Ain't Them Bodies Saints	2010	2.5	Drama
Mystery Science Theater 3000: The Movie	2009	1.3	Comedy|Sci-Fi
Expelled: No Intelligence Allowed	2004	1.8	Documentary
I Wake Up Screaming	1992	1.9	Crime|Film-Noir|Mystery|Romance|Thriller
Country Bears, The	2009	2.1	Children|Comedy
